Species	Br	Bd	Bd^2
Hipposideros_speoris	-0.54668166	1.06069784	1.125079908
Hipposideros_turpis	-0.222573178	1.541579244	2.376466566
Hypsignathus_monstrosus	0.531478917	2.531478917	6.408385507
Hypsugo_pulveratus	-0.844663963	0.72427587	0.524575536
Ia_io	-0.118615343	1.726727209	2.981586854
Kerivoula_papillosa	-0.508638306	1.004321374	1.008661422
Lasiurus_borealis	-0.769551079	0.892094603	0.795832781
Leptonycteris_curasoae	-0.259637311	1.389166084	1.929782409
Leptonycteris_nivalis	-0.232102384	1.357934847	1.843987049
Lonchophylla_mordax	-0.364516253	1.029383778	1.059630962
Hsunycteris_thomasi	-0.472370099	0.838849091	0.703667797
Lophostoma_schulzi	-0.292429824	1.328379603	1.76459237
Lophostoma_silvicolum	-0.121478204	1.509202522	2.277692252
Macroderma_gigas	0.23146959	2.078456818	4.319982744
Macrophyllum_macrophyllum	-0.493494968	0.934498451	0.873287355
Megaderma_lyra	-0.042392713	1.586587305	2.517259276
Megaderma_spasma	-0.191114133	1.354108439	1.833609665
Mesophylla_macconnelli	-0.463441557	0.875061263	0.765732214
Micronycteris_brachyotis	-0.389339837	1.167317335	1.362629761
Micronycteris_megalotis	-0.562249437	0.812913357	0.660828126
Micronycteris_minuta	-0.543633967	0.838849091	0.703667797
Micronycteris_schmidtorum	-0.511449283	0.892094603	0.795832781
Mimon_crenulatum	-0.468521083	1.170261715	1.369512482
Miniopterus_australis	-0.690369833	0.851258349	0.724640777
Miniopterus_inflatus	-0.488116639	1.173186268	1.376366019
Miniopterus_magnater	-0.48945499	1.176091259	1.383190649
Miniopterus_pusillus	-0.665546249	0.934498451	0.873287355
Miniopterus_schreibersii	-0.537602002	1.103803721	1.218382654
Miniopterus_tristis	-0.477555766	1.193124598	1.423546306
Monophyllus_plethodon	-0.351639989	1.176091259	1.383190649
Mormopterus_jugularis	-0.657577319	1.06069784	1.125079908
Murina_cyclotis	-0.603800653	0.851258349	0.724640777
Murina_huttoni	-0.588380294	0.944482672	0.892047518
Myotis_adversus	-0.595166283	1.049218023	1.10085846
Myotis_albescens	-0.899629455	0.602059991	0.362476233
Myotis_annectans	-0.655607726	0.991226076	0.982529134
Myotis_bechsteinii	-0.576754126	0.875061263	0.765732214
Myotis_bocagii	-0.677780705	0.880813592	0.775832584
Myotis_dasycneme	-0.508638306	1.176091259	1.383190649
Myotis_daubentonii	-0.638272164	0.84509804	0.714190697
Myotis_fortidens	-0.886056648	0.633468456	0.401282285
Myotis_hasseltii	-0.725842151	0.875061263	0.765732214
Myotis_horsfieldii	-0.705533774	0.799340549	0.638945313
Myotis_lucifugus	-0.772113295	0.897627091	0.805734394
Myotis_muricola	-0.906578315	0.681241237	0.464089623
Myotis_myotis	-0.318758763	1.397940009	1.954236269
Myotis_mystacinus	-0.795880017	0.602059991	0.362476233
Myotis_nattereri	-0.657577319	0.84509804	0.714190697
Myotis_nigricans	-0.920818754	0.653212514	0.426686588
Myotis_siligorensis	-0.987162775	0.539076099	0.290603041
Myotis_tricolor	-0.586700236	1.133538908	1.284910456
Natalus_tumidirostris	-0.610833916	0.838849091	0.703667797
Neoromicia_nanus	-1	0.591064607	0.34935737
Noctilio_albiventris	-0.259637311	1.58546073	2.513685726
Noctilio_leporinus	0.100370545	1.767155866	3.122839855
Nyctalus_noctula	-0.438898616	1.431363764	2.048802225
Nycteris_arge	-0.443697499	1.025305865	1.051252117
Nycteris_grandis	-0.149353765	1.474216264	2.173313593
Nycteris_hispida	-0.54668166	0.892094603	0.795832781
Nycteris_javanica	-0.327902142	1.264817823	1.599764125
Nycteris_macrotis	-0.411168274	1.161368002	1.348775636
Nycteris_thebaica	-0.490797478	0.949390007	0.901341385
Nyctophilus_geoffroyi	-0.777283529	0.857332496	0.735019009
Otomops_martiensseni	-0.121478204	1.618048097	2.618079644
Peropteryx_macrotis	-0.795880017	0.748188027	0.559785324
Phylloderma_stenops	0.126456113	1.663700925	2.767900768
Phyllostomus_discolor	-0.050609993	1.51851394	2.305884586
Phyllostomus_elongatus	-0.053056729	1.652246341	2.729917971
Phyllostomus_hastatus	0.18582536	1.962842681	3.85275139
Pipistrellus_coromandra	-0.978810701	0.662757832	0.439247944
Pipistrellus_javanicus	-0.924453039	0.653212514	0.426686588
Pipistrellus_kuhlii	-0.779891912	0.799340549	0.638945313
Pipistrellus_subflavus	-0.903089987	0.72427587	0.524575536
Pipistrellus_tenuis	-1.026872146	0.591064607	0.34935737
Platyrrhinus_helleri	-0.37675071	1.064457989	1.13307081
Plecotus_auritus	-0.623423043	0.819543936	0.671652263
Pteronotus_davyi	-0.508638306	1.025305865	1.051252117
Pteronotus_gymnonotus	-0.46470588	1.133538908	1.284910456
Pteronotus_parnellii	-0.26520017	1.305351369	1.703942197
Pteronotus_personatus	-0.642065153	0.908485019	0.82534503
Pteropus_giganteus	0.890979597	2.761175813	7.62409187
Pteropus_lylei	0.787359252	2.497324641	6.236630363
Pteropus_rufus	0.863407841	2.573865791	6.62478511
Rhinolophus_acuminatus	-0.519993057	1.08278537	1.172424157
Rhinolophus_affinis	-0.449771647	1.136720567	1.292133647
Rhinolophus_capensis	-0.591760035	1.10720997	1.225913918
Rhinolophus_clivosus	-0.616184634	1.303196057	1.698319963
Rhinolophus_coelophyllus	-0.586700236	0.886490725	0.785865806
Rhinolophus_cornutus	-0.71219827	0.819543936	0.671652263
Rhinolophus_eloquens	-0.393618635	1.281033367	1.641046487
Rhinolophus_ferrumequinum	-0.455931956	1.371067862	1.879827082
Rhinolophus_hildebrandti	-0.200659451	1.463892989	2.142982683
Rhinolophus_hipposideros	-0.826813732	0.662757832	0.439247944
Rhinolophus_landeri	-0.557520231	0.986771734	0.973718455
Rhinolophus_lepidus	-0.732828272	0.77815125	0.605519368
Rhinolophus_luctus	-0.2069084	1.515873844	2.297873511
